item,quantity,price,description,vendor,link
plate,1 pc,3.44,3d-printed acrylic plate,jlccnc,-
pcb,5 pc,21.60,pcb,jlcpcb,-
case bottom,1 pc,28.34,3d-printed acrylic bottom case,jlccnc,-
case top,1 pc,9.35,3d-printed acrylic top case,jlccnc,-
163 keys british racing green keyboard keycaps,163 pc,16.66,keycaps,aliexpress,https://www.aliexpress.us/item/3256807785511869.html
gateron ef curry switch 50g 5pin smd mx switch,70 pc,26.69,ef curry switches,aliexpress,https://www.aliexpress.us/item/3256805933064484.html
coiled keyboard cable type c to usb-a,1 pc,7.00,usb c to usb a cable,aliexpress,https://www.aliexpress.us/item/3256808312113111.html
70pcs kailh hot-swappable pcb socket hot plug,70 pc,3.73,kailh hot swap sockets,aliexpress,https://www.aliexpress.us/item/3256807039037559.html
15pcs gasket cotton strip,15 pc,3.74,gasket for gasket mount,aliexpress,https://www.aliexpress.us/item/3256804985438216.html
switch puller tool,-,3.92,switch puller,aliexpress,https://www.aliexpress.us/item/3256808571143767.html
shipping (jlcpcb),-,20.00,,jlcpcb,-
